INFO  | 2021-06-29 12:42:17 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:42:17 - отправлен результат
INFO  | 2021-06-29 12:42:31 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:42:31 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:42:31 - отправлен результат
INFO  | 2021-06-29 12:50:47 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:50:47 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:50:47 - отправлен результат
INFO  | 2021-06-29 12:51:18 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:51:18 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:51:18 - отправлен результат
INFO  | 2021-06-29 12:54:01 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:54:01 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:54:01 - отправлен результат
INFO  | 2021-06-29 12:57:27 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:57:27 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:57:27 - отправлен результат
INFO  | 2021-06-29 12:57:43 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:57:43 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:57:43 - отправлен результат
INFO  | 2021-06-29 12:57:47 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-29 12:57:47 - null
INFO  | 2021-06-29 12:58:13 - старт сервера
INFO  | 2021-06-29 12:58:13 - добавлены команды
INFO  | 2021-06-29 12:58:13 - создан сервер
INFO  | 2021-06-29 12:58:19 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:58:19 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:58:19 - отправлен результат
INFO  | 2021-06-29 12:58:23 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-29 12:58:23 - null
INFO  | 2021-06-29 12:59:02 - старт сервера
INFO  | 2021-06-29 12:59:02 - добавлены команды
INFO  | 2021-06-29 12:59:02 - создан сервер
INFO  | 2021-06-29 12:59:05 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:59:05 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:59:05 - отправлен результат
INFO  | 2021-06-29 14:23:09 - старт сервера
INFO  | 2021-06-29 14:23:09 - добавлены команды
INFO  | 2021-06-29 14:23:09 - создан сервер
INFO  | 2021-06-29 14:23:13 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 14:23:13 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 14:23:13 - отправлен результат
INFO  | 2021-06-29 14:36:07 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 14:36:07 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 14:36:07 - отправлен результат
INFO  | 2021-06-29 14:38:45 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 14:38:45 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 14:38:45 - отправлен результат
INFO  | 2021-06-29 14:39:04 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 14:39:04 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 14:39:04 - отправлен результат
INFO  | 2021-06-29 14:39:15 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 14:39:15 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 14:39:15 - отправлен результат
INFO  | 2021-06-29 14:39:32 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 14:39:32 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 14:39:32 - отправлен результат
INFO  | 2021-06-29 14:40:07 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 14:40:07 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 14:40:07 - отправлен результат
INFO  | 2021-06-29 14:40:26 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 14:40:26 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 14:40:26 - отправлен результат
